name,type,state
image_1.jpg,apple,healthy
image_2.jpg,apple,healthy
image_3.jpg,apple,healthy
image_4.jpg,apple,healthy
image_5.jpg,apple,healthy
image_6.jpg,apple,healthy
image_7.jpg,apple,healthy
image_8.jpg,apple,healthy
image_9.jpg,apple,healthy
image_10.jpg,apple,healthy
image_11.jpg,apple,healthy
image_12.jpg,apple,healthy
image_13.jpg,apple,healthy
image_14.jpg,apple,healthy
image_15.jpg,apple,healthy
image_16.jpg,apple,healthy
image_17.jpg,apple,healthy
image_18.jpg,apple,healthy
image_19.jpg,apple,healthy
image_20.jpg,apple,healthy
image_21.jpg,apple,healthy
image_22.jpg,apple,healthy
image_23.jpg,apple,healthy
image_24.jpg,apple,healthy
image_25.jpg,apple,healthy
image_26.jpg,apple,healthy
image_27.jpg,apple,healthy
image_28.jpg,apple,healthy
image_29.jpg,apple,healthy
image_30.jpg,apple,healthy
image_31.jpg,apple,healthy
image_32.jpg,apple,healthy
image_33.jpg,apple,healthy
image_34.jpg,apple,healthy
image_35.jpg,apple,healthy
image_36.jpg,apple,healthy
image_37.jpg,apple,healthy
image_38.jpg,apple,healthy
image_39.jpg,apple,healthy
image_40.jpg,apple,healthy
image_41.jpg,apple,healthy
image_42.jpg,apple,healthy
image_43.jpg,apple,healthy
image_44.jpg,apple,healthy
image_45.jpg,apple,healthy
image_46.jpg,apple,healthy
image_47.jpg,apple,healthy
image_48.jpg,apple,healthy
image_49.jpg,apple,healthy
image_50.jpg,apple,healthy
image_51.jpg,apple,healthy
image_52.jpg,apple,healthy
image_53.jpg,apple,healthy
image_54.jpg,apple,healthy
image_55.jpg,apple,healthy
image_56.jpg,apple,healthy
image_57.jpg,apple,healthy
image_58.jpg,apple,healthy
image_59.jpg,apple,healthy
image_60.jpg,apple,healthy
image_61.jpg,apple,healthy
image_62.jpg,apple,healthy
image_63.jpg,apple,healthy
image_64.jpg,apple,healthy
image_65.jpg,apple,healthy
image_66.jpg,apple,healthy
image_67.jpg,apple,healthy
image_68.jpg,apple,healthy
image_69.jpg,apple,healthy
image_70.jpg,apple,healthy
image_71.jpg,apple,healthy
image_72.jpg,apple,healthy
image_73.jpg,apple,healthy
image_74.jpg,apple,healthy
image_75.jpg,apple,healthy
image_76.jpg,apple,healthy
image_77.jpg,apple,healthy
image_78.jpg,apple,healthy
image_79.jpg,apple,healthy
image_80.jpg,apple,healthy
image_81.jpg,apple,healthy
image_82.jpg,apple,healthy
image_83.jpg,apple,healthy
image_84.jpg,apple,healthy
image_85.jpg,apple,healthy
image_86.jpg,apple,healthy
image_87.jpg,apple,healthy
image_88.jpg,apple,healthy
image_89.jpg,apple,healthy
image_90.jpg,apple,healthy
image_91.jpg,apple,healthy
image_92.jpg,apple,healthy
image_93.jpg,apple,healthy
image_94.jpg,apple,healthy
image_95.jpg,apple,healthy
image_96.jpg,apple,healthy
image_97.jpg,apple,healthy
image_98.jpg,apple,healthy
image_99.jpg,apple,healthy
image_100.jpg,apple,healthy
image_101.jpg,apple,healthy
image_102.jpg,apple,healthy
image_103.jpg,apple,healthy
image_104.jpg,apple,healthy
image_105.jpg,apple,healthy
image_106.jpg,apple,healthy
image_107.jpg,apple,healthy
image_108.jpg,apple,healthy
image_109.jpg,apple,healthy
image_110.jpg,apple,healthy
image_111.jpg,apple,healthy
image_112.jpg,apple,healthy
image_113.jpg,apple,healthy
image_114.jpg,apple,healthy
image_115.jpg,apple,healthy
image_116.jpg,apple,healthy
image_117.jpg,apple,healthy
image_118.jpg,apple,healthy
image_119.jpg,apple,healthy
image_120.jpg,apple,healthy
image_121.jpg,apple,healthy
image_122.jpg,apple,healthy
image_123.jpg,apple,healthy
image_124.jpg,apple,healthy
image_125.jpg,apple,healthy
image_126.jpg,apple,healthy
image_127.jpg,apple,healthy
image_128.jpg,apple,healthy
image_129.jpg,apple,healthy
image_130.jpg,apple,healthy
image_131.jpg,apple,healthy
image_132.jpg,apple,healthy
image_133.jpg,apple,healthy
image_134.jpg,apple,healthy
image_135.jpg,apple,healthy
image_136.jpg,apple,healthy
image_137.jpg,apple,healthy
image_138.jpg,apple,healthy
image_139.jpg,apple,healthy
image_140.jpg,apple,healthy
image_141.jpg,apple,healthy
image_142.jpg,apple,healthy
image_143.jpg,apple,healthy
image_144.jpg,apple,healthy
image_145.jpg,apple,healthy
image_146.jpg,apple,healthy
image_147.jpg,apple,healthy
image_148.jpg,apple,healthy
image_149.jpg,apple,healthy
image_150.jpg,apple,healthy
image_151.jpg,apple,healthy
image_152.jpg,apple,healthy
image_153.jpg,apple,healthy
image_154.jpg,apple,healthy
image_155.jpg,apple,healthy
image_156.jpg,apple,healthy
